"PACIFIC Exchange Rate Service"
"MMM YYYY","USD/PHP","USD/XPT","USD/PLN","USD/PTE","USD/RON","USD/RUB","USD/SAR","USD/RSD","USD/XAG","USD/SGD","USD/SKK","USD/SIT","USD/ZAR","USD/KRW","USD/ESP","USD/XDR","USD/LKR","USD/SDD","USD/SEK","USD/CHF"
"Jan 1972",,,,,,,,,,,,,,,,,,,0.207291,0.25692
"Feb 1972",,,,,,,,,,,,,,,,,,,0.208502,0.25899
"Mar 1972",,,,,,,,,,,,,,,,,,,0.209580,0.25928
"Apr 1972",,,,,,,,,,,,,,,,,,,0.209078,0.25968
"May 1972",,,,,,,,,,,,,,,,,,,0.210346,0.25903
"Jun 1972",,,,,,,,,,,,,,,,,,,0.210992,0.26318
"Jul 1972",,,,,,,,,,,,,,,,,,,0.211336,0.26561
"Aug 1972",,,,,,,,,,,,,,,,,,,0.211620,0.26449
"Sep 1972",,,,,,,,,,,,,,,,,,,0.211496,0.26403
"Oct 1972",,,,,,,,,,,,,,,,,,,0.210785,0.26332
"Nov 1972",,,,,,,,,,,,,,,,,,,0.210758,0.26347
"Dec 1972",,,,,,,,,,,,,,,,,,,0.210812,0.26525
"Jan 1973",,,,,,,,,,,,,,,0.0157548,,,,0.210939,0.26814
"Feb 1973",,,,,,,,,,,,,,,0.0163342,,,,0.219200,0.29265
"Mar 1973",,,,,,,,,,,,,,,0.0171829,,,,0.225696,0.31084
"Apr 1973",,,,,,,,,,,,,,,0.0172169,,,,0.221640,0.30858
"May 1973",,,,,,,,,,,,,,,0.0172238,,,,0.225580,0.31518
"Jun 1973",,,,,,,,,,,,,,,0.0172289,,,,0.237373,0.32753
"Jul 1973",,,,,,,,,,,,,,,0.0173837,,,,0.247266,0.35419
"Aug 1973",,,,,,,,,,,,,,,0.0175523,,,,0.240638,0.33632
"Sep 1973",,,,,,,,,,,,,,,0.0176099,,,,0.237694,0.33146
"Oct 1973",,,,,,,,,,,,,,,0.0175753,,,,0.239403,0.33015
"Nov 1973",,,,,,,,,,,,,,,0.0174786,,,,0.230040,0.31598
"Dec 1973",,,,,,,,,,,,,,,0.0175706,,,,0.220297,0.31250
"Jan 1974",,,,,,,,,,,,,,,0.0172009,,,,0.207741,0.29723
"Feb 1974",,,,,,,,,,,,,,,0.0169329,,,,0.213690,0.31483
"Mar 1974",,,,,,,,,,,,,,,0.0169266,,,,0.219109,0.32481
"Apr 1974",,,,,,,,,,,,,,,0.0170794,,,,0.227278,0.33036
"May 1974",,,,,,,,,,,,,,,0.0174091,,,,0.233829,0.34279
"Jun 1974",,,,,,,,,,,,,,,0.0174496,,,,0.228860,0.33446
"Jul 1974",,,,,,,,,,,,,,,0.0175251,,,,0.228625,0.33736
"Aug 1974",,,,,,,,,,,,,,,0.0174659,,,,0.225935,0.33505
"Sep 1974",,,,,,,,,,,,,,,0.0173394,,,,0.223312,0.33370
"Oct 1974",,,,,,,,,,,,,,,0.0174411,,,,0.227531,0.34524
"Nov 1974",,,,,,,,,,,,,,,0.0175219,,,,0.231763,0.36360
"Dec 1974",,,,,,,,,,,,,,,0.0177152,,,,0.238958,0.38420
"Jan 1975",,,,,,,,,,,,,,,0.0177992,,,,0.247490,0.39560
"Feb 1975",,,,,,,,,,,,,,,0.0177828,,,,0.251498,0.40435
"Mar 1975",,,,,,,,,,,,,,,0.0179069,,,,0.254829,0.40265
"Apr 1975",,,,,,,,,,,,,,,0.0177555,,,,0.251713,0.39079
"May 1975",,,,,,,,,,,,,,,0.0178708,,,,0.254225,0.39847
"Jun 1975",,,,,,,,,,,,,,,0.0179220,,,,0.255328,0.40086
"Jul 1975",,,,,,,,,,,,,,,0.0174441,,,,0.241957,0.38252
"Aug 1975",,,,,,,,,,,,,,,0.0171402,,,,0.231767,0.37331
"Sep 1975",,,,,,,,,,,,,,,0.0169118,,,,0.224986,0.36902
"Oct 1975",,,,,,,,,,,,,,,0.0168830,,,,0.227645,0.37550
"Nov 1975",,,,,,,,,,,,,,,0.0168684,,,,0.227878,0.37682
"Dec 1975",,,,,,,,,,,,,,,0.0167651,,,,0.226847,0.37969
"Jan 1976",,,,,,,,,,,,,,,0.0167513,,,,0.228313,0.38417
"Feb 1976",,,,,,,,,,,,,,,0.0154895,,,,0.228582,0.38910
"Mar 1976",,,,,,,,,,,,,,,0.0149470,,,,0.227005,0.38977
"Apr 1976",,,,,,,,,,,,,,,0.0148634,,,,0.227076,0.39531
"May 1976",,,,,,,,,,,,,,,0.0147876,,,,0.226488,0.40203
"Jun 1976",,,,,,,,,,,,,,,0.0147236,,,,0.224688,0.40479
"Jul 1976",,,,,,,,,,,,,,,0.0146854,,,,0.223811,0.40241
"Aug 1976",,,,,,,,,,,,,,,0.0146514,,,,0.226669,0.40302
"Sep 1976",,,,,,,,,,,,,,,0.0147206,,,,0.229994,0.40431
"Oct 1976",,,,,,,,,,,,,,,0.0146748,,,,0.235171,0.40875
"Nov 1976",,,,,,,,,,,,,,,0.0146261,,,,0.236931,0.40958
"Dec 1976",,,,,,,,,,,,,,,0.0146342,,,,0.240508,0.40823
"Jan 1977",,,,,,,,,,,,,,,0.0145764,,,,0.237306,0.40122
"Feb 1977",,,,,,,,,,,,,,,0.0144748,,,,0.235467,0.39668
"Mar 1977",,,,,,,,,,,,,,,0.0145297,,,,0.237323,0.39208
"Apr 1977",,,,,,,,,,,,,,,0.0145356,,,,0.229981,0.39581
"May 1977",,,,,,,,,,,,,,,0.0144907,,,,0.229634,0.39693
"Jun 1977",,,,,,,,,,,,,,,0.0144035,,,,0.226267,0.40169
"Jul 1977",,,,,,,,,,,,,,,0.0122746,,,,0.229862,0.41485
"Aug 1977",,,,,,,,,,,,,,,0.0118033,,,,0.224464,0.41521
"Sep 1977",,,,,,,,,,,,,,,0.0118236,,,,0.206014,0.42114
"Oct 1977",,,,,,,,,,,,,,,0.0119020,,,,0.208432,0.43898
"Nov 1977",,,,,,,,,,,,,,,0.0120602,,,,0.208440,0.45501
"Dec 1977",,,,,,,,,,,,,,,0.0122368,,,,0.210417,0.48142
"Jan 1978",,,,,,,,,,,,,,,0.0123970,,,,0.214079,0.50344
"Feb 1978",,,,,,,,,,,,,,,0.0123938,,,,0.215615,0.52370
"Mar 1978",,,,,,,,,,,,,,,0.0124973,,,,0.216966,0.52672
"Apr 1978",,,,,,,,,,,,,,,0.0124742,,,,0.217271,0.52487
"May 1978",,,,,,,,,,,,,,,0.0123167,,,,0.214923,0.50885
"Jun 1978",,,,,,,,,,,,,,,0.0125862,,,,0.216917,0.53039
"Jul 1978",,,,,,,,,,,,,,,0.0128848,,,,0.220075,0.55432
"Aug 1978",,,,,,,,,,,,,,,0.0133421,,,,0.225173,0.59982
"Sep 1978",,,,,,,,,,,,,,,0.0136044,,,,0.225964,0.63706
"Oct 1978",,,,,,,,,,,,,,,0.0143113,,,,0.233384,0.65084
"Nov 1978",,,,,,,,,,,,,,,0.0140501,,,,0.228564,0.59703
"Dec 1978",,,,,,,,,,,,,,,0.0140840,,,,0.228023,0.59678
"Jan 1979",,,,,,,,,,,,,,,0.0142933,,,,0.229792,0.59832
"Feb 1979",,,,,,,,,,,,,,,0.0144270,,,,0.228971,0.59695
"Mar 1979",,,,,,,,,,,,,,,0.0144900,,,,0.229025,0.59472
"Apr 1979",,,,,,,,,,,,,,,0.0146770,,,,0.227709,0.58218
"May 1979",,,,,,,,,,,,,,,0.0151312,,,,0.227560,0.57893
"Jun 1979",,,,,,,,,,,,,,,0.0151312,,,,0.230319,0.58860
"Jul 1979",,,,,,,,,,,,,,,0.0151178,,,,0.236884,0.60647
"Aug 1979",,,,,,,,,,,,,,,0.0151320,,,,0.236947,0.60349
"Sep 1979",,,,,,,,,,,,,,,0.0151352,,,,0.238547,0.62061
"Oct 1979",,,,,,,,,,,,,,,0.0151168,,,,0.237441,0.61317
"Nov 1979",,,,,,,,,,,,,,,0.0150507,,,,0.236823,0.60867
"Dec 1979",,,,,,,,,,,,,,,0.0150389,,,,0.239352,0.62539
"Jan 1980",,,,,,,,,,,,,,,0.0151239,,,,0.241111,0.62685
"Feb 1980",,,,,,,,,,,,,,,0.0150053,,,,0.239748,0.60953
"Mar 1980",,,,,,,,,,,,,,,0.0144386,,,,0.230020,0.56680
"Apr 1980",,,,,,,,,,,,,,,0.0139155,,,,0.228591,0.56772
"May 1980",,,,,,,,,,,,,,,0.0141033,,,,0.237315,0.60127
"Jun 1980",,,,,,,,,,,,,,,0.0142801,,,,0.239975,0.61205
"Jul 1980",,,,,,,,,,,,,,,0.0141217,,,,0.242378,0.62196
"Aug 1980",,,,,,,,,,,,,,,0.0138095,,,,0.239525,0.60525
"Sep 1980",,,,,,,,,,,,,,,0.0136381,,,,0.240762,0.61009
"Oct 1980",,,,,,,,,,,,,,,0.0134225,,,,0.238418,0.60172
"Nov 1980",,,,,,,,,,,,,,,0.0130842,,,,0.232341,0.57939
"Dec 1980",,,,,,,,,,,,,,,0.0126534,,,,0.227154,0.56011
"Jan 1981",,,,,,,,,,0.48050,,,,,0.0124065,,,,0.224811,0.54874
"Feb 1981",,,,,,,,,,0.47918,,,,,0.0116824,,,,0.217327,0.51488
"Mar 1981",,,,,,,,,,0.47647,,,,,0.0116692,,,,0.217053,0.52031
"Apr 1981",,,,,,,,,,0.47383,,,,0.00147672,0.0113935,,,,0.213077,0.50659
"May 1981",,,,,,,,,,0.46531,,,,0.00146647,0.0109514,,,,0.204554,0.48397
